IdZonaNC;NombreDepartamento;NombreMunicipio;Anio;Mes;EnergiaActiva;EnergiaReactiva;DiaDemandaMaxima;PotenciaMaxima;FechaDemandaMaxima;PromedioDiarioHoras
2727;chocó;copacabana;2020;diciembre;2064.0;8643.0;24;8813.0;24/12/2020;10.22
2728;chocó;copacabana;2020;diciembre;14101.0;5866.0;23;7744.0;23/12/2020;8.03
2762;chocó;caldas;2024;diciembre;714301.0;201068.0;12;141838.0;12/05/2024;20.16
2763;chocó;caldas;2024;diciembre;17978.0;4926.0;31;13453.0;31/12/2024;6.11
2764;chocó;campamento;2024;diciembre;52657.0;18317.0;12;11898.0;12/12/2024;23.93
2765;chocó;cañasgordas;2024;diciembre;67518.0;25672.0;12;13385.0;12/06/2024;23.75
2766;chocó;carepa;2024;diciembre;8896.0;3034.0;27;3855.0;27/12/2024;10.7
2767;chocó;carepa;2024;diciembre;4937.0;1837.0;28;1878.0;28/12/2024;11.69
2768;chocó;carepa;2024;diciembre;1377.0;658.0;12;624.0;12/05/2024;9.79
2769;chocó;carepa;2024;diciembre;3428.0;3052.0;19;2972.0;19/12/2024;7.2
2770;chocó;carepa;2024;diciembre;348.0;246.0;12;449.0;12/05/2024;3.66
2771;chocó;carepa;2024;diciembre;5138.0;1438.0;12;32.0;12/06/2024;7.44
2772;chocó;carepa;2024;diciembre;206787.0;7873.0;12;49315.0;12/06/2024;20.27
2773;chocó;carepa;2024;diciembre;3083.0;1251.0;17;4157.0;17/12/2024;3.31
2774;chocó;caucasia;2024;diciembre;3939.0;1446.0;31;17.0;31/12/2024;9.39
2775;chocó;caucasia;2024;diciembre;8677.0;42841.0;31;23918.0;31/12/2024;15.9
2776;chocó;ebéjico;2024;diciembre;2454.0;360.0;17;1271.0;17/12/2024;7.76
2777;chocó;cisneros;2024;diciembre;15141.0;6933.0;28;84.0;28/12/2024;9.23
2778;chocó;cisneros;2024;diciembre;991.0;466.0;30;217.0;30/12/2024;2.15
2779;chocó;cocorná;2024;diciembre;18354.0;6973.0;28;60.0;28/12/2024;15.2
2780;chocó;cocorná;2024;diciembre;1115.0;362.0;12;581.0;12/04/2024;8.06
2781;chocó;cocorná;2024;diciembre;828.0;2215.0;22;1426.0;22/12/2024;23.36
2782;chocó;cocorná;2024;diciembre;303549.0;98869.0;28;53434.0;28/12/2024;24.0
2783;chocó;concepción;2024;diciembre;539.0;195.0;31;4202.0;31/12/2024;6.08
2784;chocó;copacabana;2024;diciembre;28726.0;14096.0;24;9777.0;24/12/2024;12.56
